year_quarter,z_t
2010-07-01,-0.10503591671578248
2010-10-01,1.1125095339262892
2011-01-01,1.4543204431341288
2011-04-01,1.3517635875310992
2011-07-01,0.7558210160938993
2011-10-01,-0.6710693146585864
2012-01-01,-0.31087077394393087
2012-04-01,0.47159097021164276
2012-07-01,0.21445691844202677
2012-10-01,0.7980520864595873
2013-01-01,-0.1777302470097798
2013-04-01,-0.18550517945722042
2013-07-01,1.1873736829461383
2013-10-01,1.0359715213069978
2014-01-01,1.2180989821052
2014-04-01,0.7825688556219362
2014-07-01,0.2108279523489832
2014-10-01,-0.14426488537178486
2015-01-01,0.9392801214818465
2015-04-01,-0.6018624981583175
2015-07-01,-0.5107832066796651
2015-10-01,0.24910359520020997
2016-01-01,0.1286513362679379
2016-04-01,0.572942142722817
2016-07-01,-0.2310238787115099
2016-10-01,-0.6826536133131239
2017-01-01,-0.5544541612719516
2017-04-01,-0.05943037422836477
2017-07-01,-0.06204612058458424
2017-10-01,0.5101766132571094
2018-01-01,0.6549717948245968
2018-04-01,0.7519410037898784
2018-07-01,1.0214422903988052
2018-10-01,-0.24537725392197415
2019-01-01,-1.0134212508710065
2019-04-01,-1.9441270927540972
2019-07-01,-1.8775751312457745
2019-10-01,-1.7333601335614377
2020-01-01,-1.2036507465944934
2020-04-01,0.3662251558845831
2020-07-01,1.020748822756113
2020-10-01,1.6286938754941902
2021-01-01,1.7242448972674331
2021-04-01,1.555070788306799
2021-07-01,1.128561864074532
2021-10-01,0.12200488591467216
2022-01-01,0.03400691286634715
2022-04-01,0.5764984969634956
2022-07-01,-0.14624666872914283
2022-10-01,0.07874020692710651
2023-01-01,-0.4371148504134317
2023-04-01,2.62721090314399
